league_id,league_name,league_type,league_logo,country_name,country_code,country_flag
780,III Liga - Group 1,League,https://media.api-sports.io/football/leagues/780.png,Poland,PL,https://media.api-sports.io/flags/pl.svg
781,III Liga - Group 2,League,https://media.api-sports.io/football/leagues/781.png,Poland,PL,https://media.api-sports.io/flags/pl.svg
782,III Liga - Group 3,League,https://media.api-sports.io/football/leagues/782.png,Poland,PL,https://media.api-sports.io/flags/pl.svg
783,III Liga - Group 4,League,https://media.api-sports.io/football/leagues/783.png,Poland,PL,https://media.api-sports.io/flags/pl.svg
784,Liga III - Serie 1,League,https://media.api-sports.io/football/leagues/784.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
785,Liga III - Serie 2,League,https://media.api-sports.io/football/leagues/785.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
786,Liga III - Serie 3,League,https://media.api-sports.io/football/leagues/786.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
787,Liga III - Serie 4,League,https://media.api-sports.io/football/leagues/787.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
788,Liga III - Serie 5,League,https://media.api-sports.io/football/leagues/788.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
789,Liga III - Serie 6,League,https://media.api-sports.io/football/leagues/789.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
790,Liga III - Serie 7,League,https://media.api-sports.io/football/leagues/790.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
791,Liga III - Serie 8,League,https://media.api-sports.io/football/leagues/791.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
792,Liga III - Serie 9,League,https://media.api-sports.io/football/leagues/792.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
793,Liga III - Serie 10,League,https://media.api-sports.io/football/leagues/793.png,Romania,RO,https://media.api-sports.io/flags/ro.svg
794,3. SNL - East,League,https://media.api-sports.io/football/leagues/794.png,Slovenia,SI,https://media.api-sports.io/flags/si.svg
795,3. SNL - West,League,https://media.api-sports.io/football/leagues/795.png,Slovenia,SI,https://media.api-sports.io/flags/si.svg
796,2. Liga Interregional - Group 1,League,https://media.api-sports.io/football/leagues/796.png,Switzerland,CH,https://media.api-sports.io/flags/ch.svg
797,2. Liga Interregional - Group 2,League,https://media.api-sports.io/football/leagues/797.png,Switzerland,CH,https://media.api-sports.io/flags/ch.svg
798,2. Liga Interregional - Group 3,League,https://media.api-sports.io/football/leagues/798.png,Switzerland,CH,https://media.api-sports.io/flags/ch.svg
799,2. Liga Interregional - Group 4,League,https://media.api-sports.io/football/leagues/799.png,Switzerland,CH,https://media.api-sports.io/flags/ch.svg
800,2. Liga Interregional - Group 5,League,https://media.api-sports.io/football/leagues/800.png,Switzerland,CH,https://media.api-sports.io/flags/ch.svg
801,2. Liga Interregional - Group 6,League,https://media.api-sports.io/football/leagues/801.png,Switzerland,CH,https://media.api-sports.io/flags/ch.svg
802,Cup,Cup,https://media.api-sports.io/football/leagues/802.png,Uzbekistan,UZ,https://media.api-sports.io/flags/uz.svg
809,Super Cup,Cup,https://media.api-sports.io/football/leagues/809.png,Andorra,AD,https://media.api-sports.io/flags/ad.svg
810,Super Copa,Cup,https://media.api-sports.io/football/leagues/810.png,Argentina,AR,https://media.api-sports.io/flags/ar.svg
